PBSS arithmetic zero-peel campaign
status=completed elapsed_s=100.0 x_max=1.000e+10
NOT AN UNCONDITIONAL PROOF OF RH

       T    N   d    det          R_d        alpha
   10.00    0   2   deg1   1.3363e-01   0.0000e+00
   10.00    0   4   deg1   1.4387e-01   0.0000e+00
   10.00    0   6   deg1   1.4394e-01   0.0000e+00
   10.00    0   2   none   9.6906e-01   0.0000e+00
   10.00    0   4   none   9.6943e-01   0.0000e+00
   10.00    0   6   none   9.6943e-01   0.0000e+00
   10.00    1   2   deg1   1.7528e-01  -9.4857e-01
   10.00    1   4   deg1   1.8381e-01  -9.4857e-01
   10.00    1   6   deg1   1.8524e-01  -9.4857e-01
   10.00    1   2   none   9.7479e-01  -1.1940e+00
   10.00    1   4   none   9.7503e-01  -1.1940e+00
   10.00    1   6   none   9.7509e-01  -1.1940e+00
   10.00    2   2   deg1   2.0055e-01  -9.5239e-01
   10.00    2   4   deg1   2.0858e-01  -9.5239e-01
   10.00    2   6   deg1   2.1155e-01  -9.5239e-01
   10.00    2   2   none   9.7749e-01  -1.1971e+00
   10.00    2   4   none   9.7769e-01  -1.1971e+00
   10.00    2   6   none   9.7781e-01  -1.1971e+00
   10.00    5   2   deg1   2.3479e-01  -9.1055e-01
   10.00    5   4   deg1   2.4383e-01  -9.1055e-01
   10.00    5   6   deg1   2.4888e-01  -9.1055e-01
   10.00    5   2   none   9.8073e-01  -1.1246e+00
   10.00    5   4   none   9.8094e-01  -1.1246e+00
   10.00    5   6   none   9.8112e-01  -1.1246e+00
   10.00   10   2   deg1   2.6827e-01  -9.0647e-01
   10.00   10   4   deg1   2.7990e-01  -9.0647e-01
   10.00   10   6   deg1   2.8670e-01  -9.0647e-01
   10.00   10   2   none   9.8357e-01  -1.0899e+00
   10.00   10   4   none   9.8382e-01  -1.0899e+00
   10.00   10   6   none   9.8403e-01  -1.0899e+00
   10.00   20   2   deg1   3.0620e-01  -8.9582e-01
   10.00   20   4   deg1   3.1968e-01  -8.9582e-01
   10.00   20   6   deg1   3.2928e-01  -8.9582e-01
   10.00   20   2   none   9.8590e-01  -1.0718e+00
   10.00   20   4   none   9.8617e-01  -1.0718e+00
   10.00   20   6   none   9.8643e-01  -1.0718e+00
   10.00   30   2   deg1   3.2519e-01  -8.8811e-01
   10.00   30   4   deg1   3.3999e-01  -8.8811e-01
   10.00   30   6   deg1   3.5105e-01  -8.8811e-01
   10.00   30   2   none   9.8693e-01  -1.0588e+00
   10.00   30   4   none   9.8721e-01  -1.0588e+00
   10.00   30   6   none   9.8750e-01  -1.0588e+00
   10.00   50   2   deg1   3.5088e-01  -8.8361e-01
   10.00   50   4   deg1   3.6758e-01  -8.8361e-01
   10.00   50   6   deg1   3.8058e-01  -8.8361e-01
   10.00   50   2   none   9.8818e-01  -1.0483e+00
   10.00   50   4   none   9.8849e-01  -1.0483e+00
   10.00   50   6   none   9.8881e-01  -1.0483e+00
   12.00    0   2   deg1   1.7829e-01   0.0000e+00
   12.00    0   4   deg1   1.8906e-01   0.0000e+00
   12.00    0   6   deg1   1.9314e-01   0.0000e+00
   12.00    0   2   none   9.6883e-01   0.0000e+00
   12.00    0   4   none   9.6924e-01   0.0000e+00
   12.00    0   6   none   9.6939e-01   0.0000e+00
   12.00    1   2   deg1   2.1299e-01  -9.7254e-01
   12.00    1   4   deg1   2.3050e-01  -9.7254e-01
   12.00    1   6   deg1   2.3271e-01  -9.7254e-01
   12.00    1   2   none   9.7484e-01  -9.6170e-01
   12.00    1   4   none   9.7540e-01  -9.6170e-01
   12.00    1   6   none   9.7547e-01  -9.6170e-01
   12.00    2   2   deg1   2.3357e-01  -9.5796e-01
   12.00    2   4   deg1   2.5435e-01  -9.5796e-01
   12.00    2   6   deg1   2.5624e-01  -9.5796e-01
   12.00    2   2   none   9.7742e-01  -9.6131e-01
   12.00    2   4   none   9.7804e-01  -9.6131e-01
   12.00    2   6   none   9.7809e-01  -9.6131e-01
   12.00    5   2   deg1   2.6863e-01  -9.3217e-01
   12.00    5   4   deg1   2.9534e-01  -9.3217e-01
   12.00    5   6   deg1   2.9682e-01  -9.3217e-01
   12.00    5   2   none   9.8095e-01  -9.4867e-01
   12.00    5   4   none   9.8165e-01  -9.4867e-01
   12.00    5   6   none   9.8169e-01  -9.4867e-01
   12.00   10   2   deg1   3.0659e-01  -9.2811e-01
   12.00   10   4   deg1   3.3902e-01  -9.2811e-01
   12.00   10   6   deg1   3.4061e-01  -9.2811e-01
   12.00   10   2   none   9.8389e-01  -9.5478e-01
   12.00   10   4   none   9.8466e-01  -9.5478e-01
   12.00   10   6   none   9.8469e-01  -9.5478e-01
   12.00   20   2   deg1   3.4618e-01  -9.1793e-01
   12.00   20   4   deg1   3.8390e-01  -9.1793e-01
   12.00   20   6   deg1   3.8607e-01  -9.1793e-01
   12.00   20   2   none   9.8628e-01  -9.5534e-01
   12.00   20   4   none   9.8709e-01  -9.5534e-01
   12.00   20   6   none   9.8713e-01  -9.5534e-01
   12.00   30   2   deg1   3.6827e-01  -9.1033e-01
   12.00   30   4   deg1   4.0874e-01  -9.1033e-01
   12.00   30   6   deg1   4.1137e-01  -9.1033e-01
   12.00   30   2   none   9.8740e-01  -9.5321e-01
   12.00   30   4   none   9.8823e-01  -9.5321e-01
