PBSS extend-x multi-T scan
status=completed elapsed_s=782.5 x_max=5.000e+10 n_primes=2119654578
chooser: x_max=5e10 (1e11 rejected: est ~42GiB primes > ~55% of 60GiB RAM)
sieve_s=130.78368043899536
NOT AN UNCONDITIONAL PROOF OF RH

       T   d    det          R_d
  16.635   2   deg1   1.2487e-01
  16.635   4   deg1   1.8738e-01
  16.635   6   deg1   1.9072e-01
  16.635   2   none   9.6519e-01
  16.635   4   none   9.6768e-01
  16.635   6   none   9.6781e-01
  17.524   2   deg1   1.1422e-01
  17.524   4   deg1   1.8222e-01
  17.524   6   deg1   1.8534e-01
  17.524   2   none   9.6434e-01
  17.524   4   none   9.6708e-01
  17.524   6   none   9.6720e-01
  18.413   2   deg1   1.0506e-01
  18.413   4   deg1   1.8047e-01
  18.413   6   deg1   1.8370e-01
  18.413   2   none   9.6397e-01
  18.413   4   none   9.6700e-01
  18.413   6   none   9.6713e-01
  19.302   2   deg1   9.0493e-02
  19.302   4   deg1   1.7420e-01
  19.302   6   deg1   1.7748e-01
  19.302   2   none   9.6321e-01
  19.302   4   none   9.6659e-01
  19.302   6   none   9.6672e-01
  20.191   2   deg1   7.7622e-02
  20.191   4   deg1   1.7051e-01
  20.191   6   deg1   1.7413e-01
  20.191   2   none   9.6286e-01
  20.191   4   none   9.6660e-01
  20.191   6   none   9.6675e-01
  21.080   2   deg1   6.8491e-02
  21.080   4   deg1   1.6482e-01
  21.080   6   deg1   1.6744e-01
  21.080   2   none   9.6211e-01
  21.080   4   none   9.6603e-01
  21.080   6   none   9.6614e-01
  21.969   2   deg1   5.6705e-02
  21.969   4   deg1   1.5915e-01
  21.969   6   deg1   1.6263e-01
  21.969   2   none   9.6171e-01
  21.969   4   none   9.6587e-01
  21.969   6   none   9.6601e-01
  22.858   2   deg1   4.9712e-02
  22.858   4   deg1   1.5679e-01
  22.858   6   deg1   1.5887e-01
  22.858   2   none   9.6128e-01
  22.858   4   none   9.6565e-01
  22.858   6   none   9.6573e-01
  23.746   2   deg1   3.9479e-02
  23.746   4   deg1   1.5071e-01
  23.746   6   deg1   1.5409e-01
  23.746   2   none   9.6108e-01
  23.746   4   none   9.6559e-01
  23.746   6   none   9.6572e-01
  24.635   2   deg1   3.4019e-02
  24.635   4   deg1   1.4643e-01
  24.635   6   deg1   1.4928e-01
  24.635   2   none   9.6083e-01
  24.635   4   none   9.6539e-01
  24.635   6   none   9.6551e-01
